!CSV A.01.01
!Keysight Technologies,N5242B,US61255121,A.15.50.07
!Date: Friday, October 24, 2025 17:18:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Output(DB),Output(DEG)
2180316693.0578,-89.869743,74.014847
2180320026.6689,-88.368645,124.40676
2180323360.28,-89.971634,-163.46449
2180326693.8912,-86.548744,-52.628559
2180330027.5023,-91.502281,4.0303402
2180333361.1134,-88.357788,73.56028
2180336694.7246,-89.616928,-26.277824
2180340028.3357,-89.721992,32.654087
2180343361.9468,-92.079575,86.746307
2180346695.558,-90.326836,-141.35493
2180350029.1691,-89.893494,-4.0415797
2180353362.7802,-89.525612,-167.67426
2180356696.3914,-90.6511,75.671333
2180360030.0025,-89.032356,-38.799732
2180363363.6136,-89.159477,137.26155
2180366697.2248,-88.891922,173.86014
2180370030.8359,-88.873955,-108.77182
2180373364.447,-88.221306,-77.952377
2180376698.0582,-89.313866,-139.52179
2180380031.6693,-88.283768,1.7969681
2180383365.2804,-87.638664,-143.04868
2180386698.8916,-88.947975,-176.19464
2180390032.5027,-88.597046,-132.25082
2180393366.1138,-90.19944,-151.08731
2180396699.725,-89.796875,-74.68396
2180400033.3361,-90.393875,-17.971447
2180403366.9472,-89.792671,164.38037
2180406700.5584,-89.802399,46.649918
2180410034.1695,-89.305534,-34.840569
2180413367.7806,-89.230667,-119.99858
2180416701.3918,-89.891342,-170.69014
2180420035.0029,-87.927773,-61.21476
2180423368.6141,-87.592384,-97.246185
2180426702.2252,-87.319511,133.7562
2180430035.8363,-89.209618,127.98187
2180433369.4475,-89.007629,1.6488876
2180436703.0586,-89.956314,-79.168724
2180440036.6697,-90.747162,-164.6834
2180443370.2809,-87.33429,-22.819164
2180446703.892,-89.43055,176.68752
2180450037.5031,-90.060463,63.451927
2180453371.1143,-88.598999,179.67856
2180456704.7254,-87.694954,-91.641411
2180460038.3365,-91.002373,159.91267
2180463371.9477,-90.504311,-157.75957
2180466705.5588,-89.524132,-121.13923
2180470039.1699,-89.364738,16.457956
2180473372.7811,-89.21875,36.779633
2180476706.3922,-88.129593,-0.89498472
2180480040.0033,-89.558075,40.059856
2180483373.6145,-88.620224,-51.07119
2180486707.2256,-88.375633,-35.198364
2180490040.8367,-89.665253,113.44608
2180493374.4479,-88.735893,-46.471878
2180496708.059,-91.150276,137.36649
2180500041.6701,-91.628082,123.22354
2180503375.2813,-86.756927,138.81273
2180506708.8924,-89.126656,-88.338921
2180510042.5035,-90.584747,-158.604
2180513376.1147,-88.322128,65.368599
2180516709.7258,-88.921051,-122.66976
2180520043.3369,-89.111542,-49.666882
2180523376.9481,-90.251671,-56.463909
2180526710.5592,-90.474014,-81.576263
2180530044.1703,-90.695549,-120.2182
2180533377.7815,-87.811676,64.037529
2180536711.3926,-93.503838,-69.913078
2180540045.0038,-90.980362,144.77328
2180543378.6149,-88.481934,142.47885
2180546712.226,-88.283524,-89.586548
2180550045.8372,-89.83873,-50.538727
2180553379.4483,-89.029488,-69.0121
2180556713.0594,-87.309425,-1.2550759
2180560046.6706,-89.217682,-82.747383
2180563380.2817,-90.793785,-113.69982
2180566713.8928,-89.161438,-129.32352
2180570047.504,-89.073761,41.881172
2180573381.1151,-88.029785,-170.7433
2180576714.7262,-88.84243,-110.37475
2180580048.3374,-87.594299,120.84385
2180583381.9485,-89.756874,135.86647
2180586715.5596,-90.024422,15.744775
2180590049.1708,-89.348763,-61.901917
2180593382.7819,-90.614975,-137.23979
2180596716.393,-90.524788,-130.82394
2180600050.0042,-93.083359,-129.83388
2180603383.6153,-89.870575,80.13752
2180606717.2264,-93.425842,-108.89779
2180610050.8376,-90.999878,31.293882
2180613384.4487,-88.615074,59.250698
2180616718.0598,-88.807571,6.6073246
2180620051.671,-89.259575,-127.63999
2180623385.2821,-91.462097,-146.51048
2180626718.8932,-89.407883,-54.079449
2180630052.5044,-88.942001,-17.640013
2180633386.1155,-88.643913,-171.88596
2180636719.7266,-86.018562,-101.92786
2180640053.3378,-89.633926,-150.76128
2180643386.9489,-87.829422,134.94336
2180646720.56,-88.674179,-31.674747
2180650054.1712,-90.508011,-41.815247
2180653387.7823,-87.941391,-121.48086
2180656721.3934,-88.031548,86.268318
2180660055.0046,-88.08448,72.742371
2180663388.6157,-88.635521,-79.978111
2180666722.2269,-90.213852,7.4930811
2180670055.838,-90.076561,-89.663589
2180673389.4491,-87.847939,49.921005
2180676723.0603,-90.483711,-66.263138
2180680056.6714,-89.613533,109.95027
2180683390.2825,-90.883873,-170.19292
2180686723.8937,-88.962349,43.197803
2180690057.5048,-87.46106,100.10419
2180693391.1159,-89.754288,67.237762
2180696724.7271,-87.78672,48.443817
2180700058.3382,-89.402069,-64.955437
2180703391.9493,-88.581367,82.473755
2180706725.5605,-90.486465,-65.391357
2180710059.1716,-88.86557,92.42923
2180713392.7827,-89.185516,-104.47276
2180716726.3939,-90.716766,25.994465
2180720060.005,-89.611336,-170.98836
2180723393.6161,-90.812309,-89.336082
2180726727.2273,-87.468079,20.281954
2180730060.8384,-90.192665,-170.38292
2180733394.4495,-89.765274,-25.557236
2180736728.0607,-89.519211,176.0439
2180740061.6718,-88.129974,-52.397942
2180743395.2829,-89.465309,-70.026642
2180746728.8941,-89.123413,43.519165
2180750062.5052,-88.628708,80.646767
2180753396.1163,-89.244995,90.898026
2180756729.7275,-87.066032,72.949013
2180760063.3386,-89.008949,-136.69362
2180763396.9497,-89.157242,-13.620436
2180766730.5609,-87.987198,-129.26735
2180770064.172,-87.298111,-137.19632
2180773397.7831,-92.754791,-120.69824
2180776731.3943,-88.140953,-54.521019
2180780065.0054,-89.077194,61.483006
2180783398.6166,-87.85891,23.213064
2180786732.2277,-87.239944,153.79498
2180790065.8388,-88.976837,121.20661
2180793399.45,-88.902733,124.29543
2180796733.0611,-88.279076,104.91
2180800066.6722,-89.348549,40.860413
2180803400.2834,-89.517372,9.6748266
2180806733.8945,-88.910614,-55.958237
2180810067.5056,-87.736252,154.19904
2180813401.1168,-86.883362,69.231079
2180816734.7279,-89.636505,45.841038
2180820068.339,-87.281937,55.399837
2180823401.9502,-91.903465,-178.75468
2180826735.5613,-88.138046,-48.958614
2180830069.1724,-89.2117,7.8022103
2180833402.7836,-88.317673,-131.02478
2180836736.3947,-89.126457,-94.848
2180840070.0058,-90.888596,113.41534
2180843403.617,-88.383835,123.05875
2180846737.2281,-88.90313,-7.7274108
2180850070.8392,-89.619751,77.47007
2180853404.4504,-91.874771,70.165245
2180856738.0615,-87.769402,-171.28534
2180860071.6726,-89.199951,-140.75255
2180863405.2838,-89.790184,33.614632
2180866738.8949,-90.126755,6.7231112
2180870072.506,-87.77253,-154.98451
2180873406.1172,-90.608955,-173.64551
2180876739.7283,-88.561523,142.29367
2180880073.3394,-89.773148,-129.36485
2180883406.9506,-88.74527,76.349388
2180886740.5617,-89.499863,108.89636
2180890074.1728,-89.84037,-74.465691
2180893407.784,-89.32103,-35.748676
2180896741.3951,-91.74704,-46.985508
2180900075.0063,-89.844826,36.249012
2180903408.6174,-88.765686,42.661591
2180906742.2285,-89.831902,173.52988
2180910075.8397,-88.364647,-111.32456
2180913409.4508,-87.084915,146.16035
2180916743.0619,-91.857353,0.12675986
2180920076.6731,-90.306702,-125.4385
2180923410.2842,-88.268799,-133.54518
2180926743.8953,-88.981026,39.730885
2180930077.5065,-87.055573,-2.3242025
2180933411.1176,-89.119713,-46.077511
2180936744.7287,-87.594948,-113.2562
2180940078.3399,-90.766335,128.69075
2180943411.951,-86.84993,112.45659
2180946745.5621,-88.625076,38.857307
2180950079.1733,-89.091682,-84.617386
2180953412.7844,-88.434418,-27.647301
2180956746.3955,-93.852211,105.64372
2180960080.0067,-86.909706,165.08139
2180963413.6178,-88.044754,-135.76868
2180966747.2289,-89.051346,-16.247858
2180970080.8401,-90.056671,70.193192
2180973414.4512,-87.477913,4.7236719
2180976748.0623,-88.101112,46.87994
2180980081.6735,-88.854431,-89.934341
2180983415.2846,-88.859512,-82.612335
2180986748.8957,-88.678307,135.89639
2180990082.5069,-90.370239,173.84688
2180993416.118,-88.952751,-62.84779
2180996749.7291,-90.624855,137.0881
2181000083.3403,-87.47715,-142.80736
2181003416.9514,-89.839813,-115.73929
2181006750.5625,-90.801178,106.99744
2181010084.1737,-90.153664,-97.107521
2181013417.7848,-88.207642,101.58666
2181016751.3959,-88.559631,157.32547
2181020085.0071,-88.735764,-129.92316
2181023418.6182,-91.075211,30.567867
2181026752.2294,-89.174141,-0.21371178
2181030085.8405,-88.442947,-60.001743
2181033419.4516,-90.339279,65.478951
2181036753.0628,-86.240715,140.29103
2181040086.6739,-89.695839,119.82671
2181043420.285,-87.4841,-161.40453
2181046753.8962,-91.020584,95.610092
2181050087.5073,-89.312737,-121.9973
2181053421.1184,-89.551788,140.73964
2181056754.7296,-87.930893,-110.91884
2181060088.3407,-89.191177,-165.94911
2181063421.9518,-88.344635,75.814362
2181066755.563,-89.345673,35.695194
2181070089.1741,-88.688957,-115.67986
2181073422.7852,-86.007614,-163.44991
2181076756.3964,-90.921227,116.34247
2181080090.0075,-89.894897,86.032845
2181083423.6186,-89.306679,-157.39835
2181086757.2298,-88.053642,-30.880953
2181090090.8409,-88.601685,-43.447666
2181093424.452,-89.983513,-122.78231
2181096758.0632,-89.907806,89.567276
2181100091.6743,-88.403862,134.46999
2181103425.2854,-90.1745,133.66304
2181106758.8966,-88.942917,-32.883438
2181110092.5077,-88.78981,98.301018
2181113426.1188,-89.371147,103.72125
2181116759.73,-89.464958,-179.02071
2181120093.3411,-89.829674,-31.222513
2181123426.9522,-88.229393,-0.9192515
2181126760.5634,-88.592201,8.0968342
2181130094.1745,-90.546791,-129.18513
2181133427.7856,-90.171486,16.030462
2181136761.3968,-89.183868,-96.995201
2181140095.0079,-89.467743,-99.010422
2181143428.6191,-87.260948,115.65775
2181146762.2302,-88.093773,-28.016506
2181150095.8413,-90.404671,-151.99588
2181153429.4525,-88.606834,-175.23007
2181156763.0636,-86.677208,-8.6965714
2181160096.6747,-85.966988,37.990395
2181163430.2859,-87.936974,122.76009
2181166763.897,-89.934082,71.696754
2181170097.5081,-89.192993,-131.2132
2181173431.1193,-88.56424,-30.67437
2181176764.7304,-89.559105,-120.24504
2181180098.3415,-89.0159,-33.839668
2181183431.9527,-89.409035,-45.220085
2181186765.5638,-87.88813,99.635498
2181190099.1749,-89.012093,-40.489475
2181193432.7861,-90.50415,-141.70976
2181196766.3972,-88.100388,96.679565
2181200100.0083,-88.52021,139.09322
2181203433.6195,-90.396561,-116.63381
2181206767.2306,-89.611267,105.22723
2181210100.8417,-90.727943,-124.80312
2181213434.4529,-88.608833,102.60561
2181216768.064,-90.169067,-99.659096
2181220101.6751,-89.45488,-104.38826
2181223435.2863,-90.612038,-123.72706
2181226768.8974,-87.227745,30.665436
2181230102.5085,-89.22348,-65.166275
2181233436.1197,-86.557533,85.556396
2181236769.7308,-91.655617,-140.50838
2181240103.3419,-90.947975,-66.713081
2181243436.9531,-87.472801,-102.83556
2181246770.5642,-93.736618,-79.644508
2181250104.1753,-88.27343,72.525528
2181253437.7865,-88.507668,-52.335217
2181256771.3976,-88.662842,-108.40317
2181260105.0088,-90.643166,-57.230534
2181263438.6199,-89.518814,-129.25523
2181266772.231,-89.017097,174.17825
2181270105.8422,-89.642212,59.141167
2181273439.4533,-88.827705,-43.849911
2181276773.0644,-87.744499,-28.302942
2181280106.6756,-89.824158,108.2037
2181283440.2867,-88.656746,177.44766
2181286773.8978,-88.134567,-0.70448339
2181290107.509,-87.090126,-48.412624
2181293441.1201,-88.367996,51.992016
2181296774.7312,-88.894142,72.567406
2181300108.3424,-89.555084,117.38882
2181303441.9535,-87.661697,-164.448
2181306775.5646,-89.611282,173.12894
2181310109.1758,-88.672356,111.74698
2181313442.7869,-88.493202,86.994179
2181316776.398,-87.923874,50.044422
2181320110.0092,-90.083183,41.34486
2181323443.6203,-87.439316,-171.3084
2181326777.2314,-89.535744,114.8947
2181330110.8426,-88.120224,-172.6118
2181333444.4537,-88.491501,-82.322426
2181336778.0648,-89.415985,-78.783966
2181340111.676,-87.804367,-105.51116
2181343445.2871,-88.666573,65.123398
2181346778.8982,-89.352219,158.86607
2181350112.5094,-89.354019,-164.00839
2181353446.1205,-87.932671,112.2403
2181356779.7316,-90.688133,57.883537
2181360113.3428,-87.053162,-137.80186
2181363446.9539,-88.1325,46.459496
2181366780.565,-88.082764,-45.736732
2181370114.1762,-88.31324,-120.05663
2181373447.7873,-89.147598,-64.17588
2181376781.3984,-89.384331,-167.03282
2181380115.0096,-88.199799,12.627982
2181383448.6207,-88.299919,85.782669
2181386782.2319,-89.775856,-139.86319
2181390115.843,-87.648148,-18.70503
2181393449.4541,-87.553299,156.59267
2181396783.0653,-88.398293,175.56978
2181400116.6764,-88.384438,-33.943932
2181403450.2875,-89.519089,-85.718803
2181406783.8987,-87.640907,62.21806
2181410117.5098,-88.597267,-106.85989
2181413451.1209,-90.452393,-37.420486
2181416784.7321,-89.426971,72.199455
2181420118.3432,-86.26091,136.79146
2181423451.9543,-88.553467,-165.43237
2181426785.5655,-88.195885,109.19849
2181430119.1766,-89.123268,81.88974
2181433452.7877,-91.179573,103.47095
2181436786.3989,-87.818878,-57.210236
2181440120.01,-89.356758,154.75775
2181443453.6211,-89.165398,10.475269
2181446787.2323,-88.727951,-176.93372
2181450120.8434,-87.591331,156.10187
2181453454.4545,-88.714027,135.05205
2181456788.0657,-88.042664,-156.40326
2181460121.6768,-89.335182,47.942135
2181463455.2879,-89.993881,119.72094
2181466788.8991,-88.282394,-5.3707104
2181470122.5102,-89.913673,73.945145
2181473456.1213,-87.46991,67.915405
2181476789.7325,-88.59938,52.980659
2181480123.3436,-88.510925,-11.826944
2181483456.9547,-89.807243,-179.10582
2181486790.5659,-86.753044,138.60234
2181490124.177,-87.814728,169.45563
2181493457.7881,-87.90387,122.6917
2181496791.3993,-89.15226,-109.48225
2181500125.0104,-88.578926,-101.95104
2181503458.6216,-87.182831,-178.33783
2181506792.2327,-88.7024,161.38882
2181510125.8438,-89.006607,-143.06972
2181513459.455,-87.499474,-116.71467
2181516793.0661,-90.008438,72.58567
2181520126.6772,-89.202545,-86.792633
2181523460.2884,-88.372673,145.88264
2181526793.8995,-88.369064,166.01878
2181530127.5106,-88.004936,-128.30905
2181533461.1218,-88.41346,-62.296955
2181536794.7329,-86.886902,-78.928543
2181540128.344,-90.912766,35.020721
2181543461.9552,-91.557167,-95.358421
2181546795.5663,-88.116493,12.650315
2181550129.1774,-87.339912,89.48053
2181553462.7886,-89.305679,140.43948
2181556796.3997,-89.954803,-176.65866
2181560130.0108,-89.241112,142.42424
2181563463.622,-88.579384,-66.22583
2181566797.2331,-90.699905,-0.97964656
2181570130.8442,-89.641045,-86.754128
2181573464.4554,-89.73336,141.92984
2181576798.0665,-87.305649,122.31313
2181580131.6776,-88.747307,-106.60201
2181583465.2888,-89.941895,-160.78259
2181586798.8999,-87.575806,57.460217
2181590132.511,-89.931023,58.257504
2181593466.1222,-86.100372,-28.779419
2181596799.7333,-88.134216,-82.962761
2181600133.3444,-86.873001,-155.54639
2181603466.9556,-87.919922,-48.195618
2181606800.5667,-87.917404,103.57711
2181610134.1778,-88.48774,-49.621674
2181613467.789,-87.416039,160.32947
2181616801.4001,-86.57431,13.312428
2181620135.0113,-89.795517,162.50591
2181623468.6224,-88.028053,-106.72743
2181626802.2335,-87.91713,103.7295
2181630135.8447,-88.582748,-28.500444
2181633469.4558,-89.816391,-31.341301
2181636803.0669,-87.951447,-61.059193
2181640136.6781,-87.715439,112.02134
2181643470.2892,-88.436852,179.03952
2181646803.9003,-91.037224,-120.97361
2181650137.5115,-88.395622,-88.485237
2181653471.1226,-87.601395,130.42261
2181656804.7337,-88.595215,152.93463
2181660138.3449,-86.376122,-110.74332
2181663471.956,-88.64138,-93.255417
2181666805.5671,-90.088554,62.026505
2181670139.1783,-87.21154,-84.65316
2181673472.7894,-89.645119,40.122955
2181676806.4005,-87.506577,177.32236
2181680140.0117,-89.734833,104.38163
2181683473.6228,-89.403992,31.013605
2181686807.2339,-92.143761,23.38452
2181690140.8451,-88.75576,-149.6416
2181693474.4562,-88.730881,178.92436
2181696808.0673,-86.138855,160.97256
2181700141.6785,-88.910469,95.032333
2181703475.2896,-86.904671,-148.03819
2181706808.9007,-86.711922,-48.799782
2181710142.5119,-88.425308,-151.60344
2181713476.123,-89.605263,23.13648
2181716809.7341,-89.115913,-86.765022
2181720143.3453,-89.722984,166.9131
2181723476.9564,-86.148293,103.0365
2181726810.5675,-88.94162,-127.24457
2181730144.1787,-90.959557,30.370724
2181733477.7898,-89.339462,96.205978
2181736811.401,-87.564728,55.974621
2181740145.0121,-88.891388,13.954041
2181743478.6232,-87.341629,-0.81937182
2181746812.2344,-87.662117,63.898544
2181750145.8455,-87.978493,-112.82142
2181753479.4566,-88.430267,-42.75584
2181756813.0678,-87.751152,-176.88115
2181760146.6789,-89.533279,40.193882
2181763480.29,-88.799713,54.586605
2181766813.9012,-88.5895,-166.51404
2181770147.5123,-87.477928,-174.58792
2181773481.1234,-88.580818,158.93658
2181776814.7346,-88.493393,-79.749931
2181780148.3457,-91.785568,68.74585
2181783481.9568,-89.550186,33.34341
2181786815.568,-89.368279,-30.07069
2181790149.1791,-90.237526,78.480721
2181793482.7902,-88.958549,-168.89105
2181796816.4014,-87.909424,-35.613827
2181800150.0125,-89.961899,-116.61724
2181803483.6236,-88.39872,-27.041277
2181806817.2348,-87.563263,102.32449
2181810150.8459,-87.985687,-65.249969
2181813484.457,-90.914337,133.24139
2181816818.0682,-90.036171,-125.17621
2181820151.6793,-88.823593,44.864891
2181823485.2904,-89.328102,111.41489
2181826818.9016,-89.29567,-43.100609
2181830152.5127,-87.439186,-121.04497
2181833486.1238,-87.476501,-92.655472
2181836819.735,-87.106239,-156.32411
2181840153.3461,-88.374168,79.979851
2181843486.9572,-87.924339,160.73146
2181846820.5684,-88.166115,125.66911
2181850154.1795,-87.336128,73.579063
2181853487.7906,-88.763077,-29.106709
2181856821.4018,-87.775879,83.61113
2181860155.0129,-89.07019,-110.60392
2181863488.6241,-87.558929,-111.759
2181866822.2352,-89.35656,147.42726
2181870155.8463,-90.124039,55.610157
2181873489.4575,-89.414818,173.20735
2181876823.0686,-90.668037,147.35956
2181880156.6797,-90.742599,40.655651
2181883490.2909,-91.442497,-75.455658
2181886823.902,-87.279922,59.734234
2181890157.5131,-88.411018,-153.09227
2181893491.1243,-88.60331,-61.451588
2181896824.7354,-88.431412,132.37061
2181900158.3465,-89.486084,-129.8004
2181903491.9577,-90.313866,92.526253
2181906825.5688,-90.053429,-120.77866
2181910159.1799,-88.835266,-112.32529
2181913492.7911,-88.155502,-69.990906
2181916826.4022,-89.192177,-145.19063
2181920160.0133,-89.611336,-112.85694
2181923493.6245,-89.668045,-55.846809
2181926827.2356,-89.651611,-36.063541
2181930160.8467,-88.879555,-167.86877
2181933494.4579,-88.891426,7.3404069
2181936828.069,-86.144058,-63.431202
2181940161.6801,-90.197426,20.791353
2181943495.2913,-88.800751,-123.70497
2181946828.9024,-88.270424,-71.227173
2181950162.5135,-91.159584,103.13284
2181953496.1247,-88.789909,37.81303
2181956829.7358,-87.209152,-116.4835
2181960163.3469,-88.158424,94.714478
2181963496.9581,-89.081627,116.10532
2181966830.5692,-91.032318,54.457039
2181970164.1803,-87.518906,-117.3098
2181973497.7915,-88.968231,-170.65718
2181976831.4026,-90.390015,-62.830147
2181980165.0138,-87.78508,70.053993
2181983498.6249,-89.864624,8.2008266
2181986832.236,-88.518456,-137.64499
2181990165.8472,-88.180458,-107.18861
2181993499.4583,-88.818687,56.778637
2181996833.0694,-87.243866,-147.64537
2182000166.6806,-87.965462,53.656845
2182003500.2917,-88.41037,155.22835
2182006833.9028,-90.728775,-59.072708
2182010167.514,-86.858879,53.46043
2182013501.1251,-86.493362,-132.52406
2182016834.7362,-87.784264,47.603374
2182020168.3474,-88.190994,-166.86835
2182023501.9585,-89.863892,-1.5457381
2182026835.5696,-89.535744,-87.40612
2182030169.1808,-87.345787,163.51988
2182033502.7919,-87.983047,137.92961
2182036836.403,-86.225365,31.510286
2182040170.0142,-87.774551,99.727875
2182043503.6253,-91.35965,-101.36459
2182046837.2364,-90.685806,114.5766
2182050170.8476,-87.948326,-163.4559
2182053504.4587,-90.052711,-37.37207
2182056838.0698,-89.220932,-137.82021
2182060171.681,-86.675316,-85.724297
2182063505.2921,-88.919815,-153.95164
2182066838.9032,-90.540321,-164.57268
2182070172.5144,-88.434502,-139.37288
2182073506.1255,-89.813263,176.72388
2182076839.7366,-86.559189,44.966419
2182080173.3478,-87.216331,115.7061
2182083506.9589,-87.74295,-47.191181
2182086840.57,-90.000389,-71.633301
2182090174.1812,-88.991821,142.50255
2182093507.7923,-87.981155,46.135578
2182096841.4035,-88.953308,-154.96234
2182100175.0146,-88.352455,-31.327271
2182103508.6257,-86.88662,68.179344
2182106842.2369,-90.142441,-11.193936
2182110175.848,-88.343185,110.20872
2182113509.4591,-88.28701,105.82676
2182116843.0703,-89.651672,-137.70868
2182120176.6814,-88.990768,5.3319063
2182123510.2925,-88.63224,56.530163
2182126843.9037,-89.916565,-51.375374
2182130177.5148,-90.631355,-128.03523
2182133511.1259,-90.146889,177.33922
2182136844.7371,-88.614601,91.44931
2182140178.3482,-88.566391,-152.26955
2182143511.9593,-86.876122,54.979668
2182146845.5705,-88.699257,-56.108948
2182150179.1816,-91.266953,-105.14045
2182153512.7927,-88.798393,-41.671154
2182156846.4039,-88.169464,-21.785763
2182160180.015,-87.989166,111.0754
2182163513.6261,-91.178223,-131.23357
2182166847.2373,-86.889359,134.2536
2182170180.8484,-87.487732,-171.71461
2182173514.4595,-89.620323,114.23867
2182176848.0707,-89.729675,-57.651638
2182180181.6818,-90.371567,131.09465
2182183515.2929,-89.393944,15.807841
2182186848.9041,-89.875153,-1.2989217
2182190182.5152,-90.226799,-41.735344
2182193516.1263,-88.843407,104.05212
2182196849.7375,-87.911224,57.835857
2182200183.3486,-89.78495,148.18843
2182203516.9597,-88.260902,68.785652
2182206850.5709,-86.697861,-91.865288
2182210184.182,-87.643623,98.931648
2182213517.7931,-89.054092,138.45784
2182216851.4043,-89.943733,98.355255
2182220185.0154,-90.080635,-169.64348
2182223518.6266,-89.415993,-14.126547
2182226852.2377,-87.975365,-105.72815
2182230185.8488,-89.506027,-33.603592
2182233519.46,-89.719322,-149.72737
2182236853.0711,-89.88015,-100.80321
2182240186.6822,-89.951813,-128.33005
2182243520.2934,-87.766563,-166.19958
2182246853.9045,-90.346634,-94.106506
2182250187.5156,-89.837082,101.77981
2182253521.1268,-88.325386,116.8656
2182256854.7379,-88.316597,125.29653
2182260188.349,-88.533165,82.108566
2182263521.9602,-89.84494,-46.407677
2182266855.5713,-89.154694,-118.08587
2182270189.1824,-90.279526,-72.908363
2182273522.7936,-90.071938,-76.694069
2182276856.4047,-88.178246,148.0089
2182280190.0158,-89.691666,-88.959877
2182283523.627,-88.692223,63.538677
2182286857.2381,-88.193001,106.11716
2182290190.8492,-89.126572,47.229668
2182293524.4604,-90.078995,27.895456
2182296858.0715,-88.248619,-102.9846
2182300191.6826,-88.949135,-88.134407
2182303525.2938,-89.59523,-144.91714
2182306858.9049,-87.655731,-141.16917
2182310192.516,-88.918732,119.13521
2182313526.1272,-88.483994,65.889854
2182316859.7383,-88.480461,-18.83037
2182320193.3494,-88.125526,91.033432
2182323526.9606,-89.640823,48.700298
2182326860.5717,-88.658691,-108.91244
2182330194.1828,-89.506218,-102.49836
2182333527.794,-88.856163,-123.47507
2182336861.4051,-86.227676,-69.676842
2182340195.0163,-89.163719,-17.177992
2182343528.6274,-88.567696,122.59889
2182346862.2385,-89.590927,0.37687483
2182350195.8497,-89.090714,-91.5616
2182353529.4608,-88.91864,171.16795
2182356863.0719,-87.054466,-177.83549
